사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202309,2호선,당산,23,3,6488,3095,15615,12285,43112,26320,52666,71131,34766,33436,24122,17650,22826,16010,23164,18929,22468,21145,20447,22093,22321,25628,26623,32837,40452,47969,53826,69523,25232,47408,20456,32014,20106,31017,17220,27689,8111,19009,1322,4798,5,331,0,0,0,0,20231003
202309,2호선,대림(구로구청),729,37,31186,3308,27883,10080,64294,21348,86367,51103,58747,35258,39021,32374,33371,35308,35133,31958,33700,32567,31699,32769,33648,40077,36881,48535,41701,57161,48985,64740,27157,49915,19465,39266,14747,45608,10721,41443,5326,21296,662,5462,2,327,0,0,0,0,20231003
202309,2호선,도림천,2,0,388,352,1069,817,3115,3584,3423,5145,2134,1814,1704,1448,1568,1117,2000,1766,1614,1616,2119,1586,2256,1546,2882,1783,2538,2248,3378,3129,1460,2263,1000,1543,707,1376,444,1271,215,868,33,241,1,8,0,0,0,0,20231003
202309,2호선,동대문역사문화공원(DDP),216,7,4582,1306,4234,8439,7080,22300,12971,46349,13803,30963,14603,29596,17454,28582,21448,28776,22743,28808,25790,29637,31865,28275,38268,27931,44153,31204,46811,37798,30365,36411,29575,27927,29149,20985,23802,16879,11476,10379,2294,3151,8,199,0,0,0,0,20231003
202309,2호선,뚝섬,12,1,3204,2375,7794,15591,17690,37933,24727,127215,16244,85662,14282,40657,16826,32992,20995,33802,24661,35219,29196,33157,37395,34145,48345,34934,73491,40652,120687,47542,62133,27280,44059,14740,40618,12558,27232,11323,10663,7022,1633,2529,3,112,0,0,0,0,20231003
202309,2호선,문래,11,0,4274,2149,13975,10431,42668,34699,47525,118984,27401,58812,20116,24535,19856,21859,24123,24652,24314,25910,24064,24154,27846,26041,34295,29687,57248,39018,97593,57178,38538,40170,26357,21708,27021,19138,21325,16784,10343,10717,1675,3220,9,256,0,0,0,0,20231003
202309,2호선,방배,4,1,2613,2554,9167,11400,22424,25488,30392,73048,24602,55406,19199,33519,20190,26009,23051,27455,25771,24805,28688,24297,32779,22915,39944,24390,49416,31333,60693,35557,28810,25186,22360,16837,21706,15424,17385,15362,6928,8820,1463,2556,5,66,0,0,0,0,20231003
202309,2호선,봉천,56,4,15148,1689,28655,6663,79604,12144,114195,24457,70705,20723,41131,18524,32974,20667,34577,22765,33395,24733,29143,27141,28321,35646,30887,41229,30053,53661,30861,80391,19499,69411,15381,43269,13357,40292,10219,38308,4414,22845,799,7592,2,455,0,0,0,0,20231003
202309,2호선,사당,81,4,11928,3994,27173,32956,71508,46477,98901,65795,77782,49749,50347,42606,44340,52755,49742,53691,51220,50099,56996,50611,59022,60927,62958,81917,73756,117766,90699,164085,65164,111604,62641,68812,66774,63004,61573,61627,34414,37700,5673,10472,15,778,0,0,0,0,20231003
202309,2호선,삼성(무역센터),153,2,4308,5114,6826,41742,13917,133150,19070,319397,20223,236132,23913,106992,36001,79746,46314,71190,60821,76661,73693,67909,94009,57989,123227,56353,214507,61084,285179,59884,144324,33470,113396,17810,93698,14168,59103,11566,16204,6032,2303,3876,0,803,0,0,0,0,20231003
202309,2호선,상왕십리,59,0,5546,736,13467,5802,39331,12348,63011,28797,35115,17473,22342,12963,19738,12415,21146,14571,19832,15840,18367,17166,19628,20604,21245,25300,24969,34528,25730,51669,17845,34445,11711,22765,10163,21750,7434,20501,2880,12610,477,4066,3,77,0,0,0,0,20231003
